更新时间,#genre#
2024-11-15 02:24:05,url
📺央视频道,#genre#
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-1,http://www.lebaobei.top:6868/rtp/239.255.30.101:8231$甘肃电信组播源|1920x1080
CCTV-1,http://110.177.146.152:888/rtp/239.1.1.7:8007$山西电信组播源|1920x1080
CCTV-1,http://111.192.0.32:4022/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV-1,http://183.128.141.200:8888/rtp/233.50.201.222:5140$浙江电信组播源|1920x1080
CCTV-1,http://115.212.102.140:9999/rtp/233.50.201.222:5140$浙江电信组播源|1920x1080
CCTV-1,http://115.230.251.113:9999/rtp/233.50.201.222:5140$浙江电信组播源|1920x1080
CCTV-1,http://114.243.102.80:8821/rtp/239.3.1.129:8008$北京联通组播源|1920x1080
CCTV-1,http://114.243.97.51:8821/rtp/239.3.1.129:8008$北京联通组播源|1920x1080
CCTV-1,http://114.243.103.179:8821/rtp/239.3.1.129:8008$北京联通组播源|1920x1080
CCTV-1,http://113.109.250.181:9999/rtp/239.77.0.129:5146$广东电信组播源|1920x1080
CCTV-1,http://110.177.146.152:888/udp/239.1.1.7:8007$订阅源|1920x1080
CCTV-1,https://api.livednow.org/migu/608807420?sign=gAAAAABnJcJqONXJva4TySqKVwkHLHby6Ne_WRDndhTk_GS6KA-nBZI-nPc8RaYfnLJYnZOi1_gpZX90FSquN6BF0XzcOnsBN41Kfi9k-GihR8VqmFvGDaU3-w7RPpKH_jQp1rc5eqRkG97TL1ZanN0d0KISy_vT_x2wMEchVQyRwJVbcr-5Q8MDl1WIvSdo9b0tlPwCujaaYIRxzFT-4iEr-NoUcuO0hw%3D%3D$订阅源|1920x1080
CCTV-1,http://zmjwy168.duckdns.org:35455/ysptp/CCTV1.m3u8$订阅源|1920x1080
CCTV-1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源|1920x1080
CCTV-1,http://112.102.217.173:9003//hls/13/index.m3u8$订阅源|1920x1080
CCTV-1,http://113.218.187.169:9999/udp/239.76.253.151:9000$订阅源|1920x1080
CCTV-1,http://tvbox6.icu/tv/migu.php?id=cctv1$订阅源
CCTV-1,http://218.13.170.98:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://220.249.114.102:9901/tsfile/live/1000_1.m3u8$订阅源
CCTV-1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8$订阅源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-2,http://110.177.146.152:888/rtp/239.1.1.8:8008$山西电信组播源|1920x1080
CCTV-2,http://xeace.cn:8888/rtp/239.93.1.23:6000$四川电信组播源|1920x1080
CCTV-2,http://222.95.92.12:4000/rtp/239.49.8.130:6000$江苏电信组播源|1920x1080
CCTV-2,http://125.37.56.246:18888/rtp/225.1.1.133:5002$天津联通组播源|1920x1080
CCTV-2,http://125.84.51.61:5555/rtp/235.254.198.52:1484$重庆电信组播源|1920x1080
CCTV-2,http://139.196.151.191:7549/rtp/239.45.1.109:5140$组播源
CCTV-2,http://222.64.201.174:4000/rtp/239.45.1.109:5140$上海电信组播源|1920x1080
CCTV-2,http://222.64.125.110:58888/rtp/239.45.1.109:5140$上海电信组播源|1920x1080
CCTV-2,http://106.59.2.254:55555/rtp/239.200.200.1:8004$云南电信组播源|1920x1080
CCTV-2,http://123.56.129.203:4310/rtp/225.1.8.2:8084$北京电信组播源
CCTV-2,http://110.177.146.152:888/udp/239.1.1.8:8008$订阅源|1920x1080
CCTV-2,https://api.livednow.org/migu/631780532?sign=gAAAAABnJcJqr0fwyjCRZenumPiYq29AgCGZbexK2XyM9exSQfwePDL4rwLxMaYmUy5BI5tmZ3p5Opg3XGESQyj1Myyx8xlfa--CzghtRa5MzC5lgOOROQFokKNIjS1xgPhehkOToP6coFx9T1FJaYtv8R7vSMPYGiBtsqx-CdWfMNReSPjRaDJSSrjZ0WKCW5GajQiFiD1fOBTLjS-S7V-uzyIxCqKWiQ%3D%3D$订阅源|1920x1080
CCTV-2,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源|1920x1080
CCTV-2,http://zmjwy168.duckdns.org:35455/itv/6000000001000014161.m3u8?cdn=wasusyt$订阅源|1920x1080
CCTV-2,http://221.205.131.25:9999/tsfile/live/0002_1.m3u8$订阅源|1920x1080
CCTV-2,http://vod.hnqczh.cn:808/hls/10/index.m3u8$订阅源|1920x1080
CCTV-2,https://livednow.com/migu/631780532?sign=gAAAAABmxHgUnAvEb33tHD9hTm-x8LUM8wdp7UNp8vG_QGzfBRymJcJ-qRZkuO8iC9C4jvmjR4JkCfpD2ahIj6YDLYc7I9zvSFX3TfVl-AEPw3Cr4tW6jEgf_21OyqfRJVr9Ur7eHN66lC0Vkm577g_N_DMJA7tvJB1VXzu8XvvBj9PfMX661WuanhS0hudEg28SveMbwkSCb9figgsldzEbo7jwMQVZ4A%3D%3D$订阅源|1920x1080
CCTV-2,http://59.173.243.210:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://119.163.199.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://xeace.cn:8888/rtp/239.93.1.11:2223$四川电信组播源|1920x1080
CCTV-3,http://113.109.250.181:9999/rtp/239.77.0.169:5146$广东电信组播源|1920x1080
CCTV-3,http://106.86.155.221:20002/rtp/235.254.198.141:1842$重庆电信组播源|1920x1080
CCTV-3,http://110.177.146.152:888/rtp/239.1.1.9:8009$山西电信组播源
CCTV-3,http://222.64.201.174:4000/rtp/239.45.1.68:5140$上海电信组播源|1920x1080
CCTV-3,http://222.64.125.110:58888/rtp/239.45.1.68:5140$上海电信组播源|1920x1080
CCTV-3,http://106.59.2.254:55555/rtp/239.200.200.71:8012$云南电信组播源|1920x1080
CCTV-3,http://123.56.129.203:4310/rtp/225.1.8.88:8000$北京电信组播源
CCTV-3,http://123.56.129.203:4310/rtp/225.1.8.92:8000$北京电信组播源
CCTV-3,http://114.243.102.80:8821/rtp/239.3.1.172:8001$北京联通组播源|1920x1080
